abnormal_x_arm,abnormal_y_arm,abnormal_z_arm,abnormal_norm_arm,abnormal_x_neck,abnormal_y_neck,abnormal_z_neck,abnormal_norm_neck,abnormal_x_waist,abnormal_y_waist,abnormal_z_waist,abnormal_norm_waist,abnormal_PWR,abnormal_HR,x_mean_arm,y_mean_arm,z_mean_arm,norm_arm,x_mean_neck,y_mean_neck,z_mean_neck,norm_neck,x_mean_neck.1,y_mean_neck.1,z_mean_neck.1,norm_neck.1,PWR,HR,x_mean_arm_1,y_mean_arm_1,z_mean_arm_1,norm_arm_1,x_mean_neck_1,y_mean_neck_1,z_mean_neck_1,norm_neck_1,x_mean_neck_1,y_mean_neck_1,z_mean_neck_1,norm_neck_1,PWR_1,HR_1,x_mean_arm_2,y_mean_arm_2,z_mean_arm_2,norm_arm_2,x_mean_neck_2,y_mean_neck_2,z_mean_neck_2,norm_neck_2,x_mean_neck_2,y_mean_neck_2,z_mean_neck_2,norm_neck_2,PWR_2,HR_2,x_mean_arm_3,y_mean_arm_3,z_mean_arm_3,norm_arm_3,x_mean_neck_3,y_mean_neck_3,z_mean_neck_3,norm_neck_3,x_mean_neck_3,y_mean_neck_3,z_mean_neck_3,norm_neck_3,PWR_3,HR_3,x_mean_arm_4,y_mean_arm_4,z_mean_arm_4,norm_arm_4,x_mean_neck_4,y_mean_neck_4,z_mean_neck_4,norm_neck_4,x_mean_neck_4,y_mean_neck_4,z_mean_neck_4,norm_neck_4,PWR_4,HR_4,x_mean_arm_5,y_mean_arm_5,z_mean_arm_5,norm_arm_5,x_mean_neck_5,y_mean_neck_5,z_mean_neck_5,norm_neck_5,x_mean_neck_5,y_mean_neck_5,z_mean_neck_5,norm_neck_5,PWR_5,HR_5,x_mean_arm_6,y_mean_arm_6,z_mean_arm_6,norm_arm_6,x_mean_neck_6,y_mean_neck_6,z_mean_neck_6,norm_neck_6,x_mean_neck_6,y_mean_neck_6,z_mean_neck_6,norm_neck_6,PWR_6,HR_6,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.4,-34.8,62.4,98.22199346,84.6,-11.6,37.2,93.14268624,91.6,-19.4,32.8,99.21068491,149193,64.50028707,-0.4,0.4,0,0.13429765,0.2,-0.2,0,0.20676475,0.8,0.2,-1.4,0.24965895,28340,1.54432238,-0.4,0.4,0.4,0.38855364,-0.6,-0.4,0.6,-0.25113657,1.2,-0.4,-2,0.55163263,-5173,-1.29274276,-0.2,0.6,0.2,0.05394459,-0.2,0,-0.4,-0.34096212,0,0.6,-0.4,-0.24725732,114948,0.61040587,-0.4,0,0.2,0.40173594,0,-0.4,0.2,0.13067544,0.8,-0.2,-2.4,0.01673066,401891,2.81136875,-0.4,0.4,0,0.13429765,0.6,-0.6,-0.2,0.5423179,0.2,-0.4,-1.4,-0.18927308,730271,4.21650398,-0.6,0.8,0.4,0.38753955,1,0.2,-0.4,0.72722374,0.2,-0.2,-0.8,-0.03709972,1487466,6.19643863,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,-34.2,63.8,98.63609887,84.4,-10.6,36.8,92.68203709,92,-19,30.6,98.79959514,229431,66.4193732,-0.4,-0.6,-1.4,-0.41410541,0.2,-1,0.4,0.46064915,-0.4,-0.4,2.2,0.41108977,-80238,-1.91908613,-0.8,-0.2,-1.4,-0.27980776,0.4,-1.2,0.4,0.6674139,0.4,-0.2,0.8,0.66074872,-51898,-0.37476375,-0.8,-0.2,-1,-0.02555177,-0.4,-1.4,1,0.20951258,0.8,-0.8,0.2,0.9627224,-85411,-3.21182889,-0.6,0,-1.2,-0.36016082,0,-1,0,0.11968703,-0.4,0.2,1.8,0.16383245,34710,-1.30868026,-0.8,-0.6,-1.2,-0.01236947,0.2,-1.4,0.6,0.59132459,0.4,-0.6,-0.2,0.42782043,321653,0.89228262,-0.8,-0.2,-1.4,-0.27980776,0.8,-1.6,0.2,1.00296705,-0.2,-0.8,0.8,0.22181669,650033,2.29741785,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.6,-34.2,63,98.53121333,84.8,-11.8,37.8,93.59017042,91.2,-19,33,98.83035971,192832,65.99491463,0.6,0,0.8,0.10488554,-0.4,1.2,-1,-0.90813333,0.8,0,-2.4,-0.03076457,36599,0.42445857,0.2,-0.6,-0.6,-0.30921987,-0.2,0.2,-0.6,-0.44748418,0.4,-0.4,-0.2,0.3803252,-43639,-1.49462756,-0.2,-0.2,-0.6,-0.17492222,0,0,-0.6,-0.24071943,1.2,-0.2,-1.6,0.62998415,-15299,0.04969482,-0.2,-0.2,-0.2,0.07933377,-0.8,-0.2,0,-0.69862075,1.6,-0.8,-2.2,0.93195783,-48812,-2.78737032,0,0,-0.4,-0.25527528,-0.4,0.2,-1,-0.7884463,0.4,0.2,-0.6,0.13306788,71309,-0.88422169,-0.2,-0.6,-0.4,0.09251607,-0.2,-0.2,-0.4,-0.31680874,1.2,-0.6,-2.6,0.39705586,358252,1.31674119,2
0.020747456,0.075320503,0.006713833,3.40E-05,4.46E-05,0.063101812,0.000712513,1.26E-05,8.57E-05,0.00300254,0.005954218,3.32E-06,0.477543305,0.007578524,-67,-34.8,62,97.69360266,85,-11,37.4,93.5134215,92.2,-18.2,31.8,99.21350714,199335,65.82812631,-0.6,0.6,1,0.83761067,-0.2,-0.8,0.4,0.07674892,-1,-0.8,1.2,-0.38314743,-6503,0.16678832,0,0.6,1.8,0.94249621,-0.6,0.4,-0.6,-0.83138441,-0.2,-0.8,-1.2,-0.413912,30096,0.59124689,-0.4,0,0.4,0.5283908,-0.4,-0.6,-0.2,-0.37073526,-0.6,-1.2,1,-0.00282223,-50142,-1.32783924,-0.8,0.4,0.4,0.66268845,-0.2,-0.8,-0.2,-0.16397051,0.2,-1,-0.4,0.24683672,-21802,0.21648314,-0.8,0.4,0.8,0.91694444,-1,-1,0.4,-0.62187183,0.6,-1.6,-1,0.5488104,-55315,-2.620582,-0.6,0.6,0.6,0.58233539,-0.6,-0.6,-0.6,-0.71169738,-0.6,-0.6,0.6,-0.25007955,64806,-0.71743337,2
0.02049213,0.068102625,0.006851084,3.05E-05,4.22E-05,0.056183198,0.000602873,1.15E-05,7.85E-05,0.002947205,0.005509207,2.99E-06,0.478107841,0.007712023,-67.4,-34,63,98.32476799,85.4,-11.4,37.4,93.92486359,92,-19,31.2,98.98706986,176663,67.09079143,0.4,-0.8,-1,-0.63116533,-0.4,0.4,0,-0.41144209,0.2,0.8,0.6,0.22643728,22672,-1.26266512,-0.2,-0.2,0,0.20644534,-0.6,-0.4,0.4,-0.33469317,-0.8,0,1.8,-0.15671015,16169,-1.0958768,0.4,-0.2,0.8,0.31133088,-1,0.8,-0.6,-1.2428265,0,0,-0.6,-0.18747472,52768,-0.67141823,0,-0.8,-0.6,-0.10277453,-0.8,-0.2,-0.2,-0.78217735,-0.4,-0.4,1.6,0.22361505,-27470,-2.59050436,-0.4,-0.4,-0.6,0.03152312,-0.6,-0.4,-0.2,-0.5754126,0.4,-0.2,0.2,0.473274,870,-1.04618198,-0.4,-0.4,-0.2,0.28577911,-1.4,-0.6,0.4,-1.03331392,0.8,-0.8,-0.4,0.77524768,-32643,-3.88324712,2
0.020251358,0.045770723,0.006974946,2.65E-05,3.72E-05,0.035583791,0.000594109,1.05E-05,6.87E-05,0.002875972,0.004980789,2.37E-06,0.478452352,0.007842067,-68,-34,62.4,98.35527439,84.2,-11.2,36.8,92.57062169,91.4,-19.4,32.6,98.95999192,200292,62.5845805,0.6,0,0.6,-0.0305064,1.2,-0.2,0.6,1.3542419,0.6,0.4,-1.4,0.02707794,-23629,4.50621093,1,-0.8,-0.4,-0.66167173,0.8,0.2,0.6,0.94279981,0.8,1.2,-0.8,0.25351522,-957,3.24354581,0.4,-0.2,0.6,0.17593894,0.6,-0.6,1,1.01954873,-0.2,0.4,0.4,-0.12963221,-7460,3.41033413,1,-0.2,1.4,0.28082448,0.2,0.6,0,0.1114154,0.6,0.4,-2,-0.16039678,29139,3.8347927,0.6,-0.8,0,-0.13328093,0.4,-0.4,0.4,0.57206455,0.2,0,0.2,0.25069299,-51099,1.91570657,0.2,-0.4,0,0.00101672,0.6,-0.6,0.4,0.7788293,1,0.2,-1.2,0.50035194,-22759,3.46002895,2
0.020032375,0.038660026,0.007072593,2.28E-05,3.50E-05,0.014694765,0.000570451,8.95E-06,6.00E-05,0.002742325,0.004507413,1.87E-06,0.478914466,0.007943202,-67.2,-34.6,63.2,98.52532669,85,-12.2,36.4,93.26735763,93.4,-19.2,28.8,99.60742944,226052,63.8290552,-0.8,0.6,-0.8,-0.1700523,-0.8,1,0.4,-0.69673594,-2,-0.2,3.8,-0.64743752,-25760,-1.2444747,-0.2,0.6,-0.2,-0.2005587,0.4,0.8,1,0.65750596,-1.4,0.2,2.4,-0.62035958,-49389,3.26173623,0.2,-0.2,-1.2,-0.83172403,0,1.2,1,0.24606387,-1.2,1,3,-0.3939223,-26717,1.99907111,-0.4,0.4,-0.2,0.00588664,-0.2,0.4,1.4,0.32281279,-2.2,0.2,4.2,-0.77706973,-33220,2.16585943,0.2,0.4,0.6,0.11077218,-0.6,1.6,0.4,-0.58532054,-1.4,0.2,1.8,-0.8078343,3379,2.590318,-0.2,-0.2,-0.8,-0.30333323,-0.4,0.6,0.8,-0.12467139,-1.8,-0.2,4,-0.39674453,-76859,0.67123187,2
0.019762946,0.036634713,0.007142665,1.87E-05,3.30E-05,0.012160977,0.000537539,7.40E-06,5.49E-05,0.00252275,0.00406242,1.81E-06,0.479588294,0.00802109,-67.4,-34.8,62.4,98.22199346,84.8,-11.6,36.8,93.16565891,92.8,-19,29.8,99.30196373,237959,63.20743027,0.2,0.2,0.8,0.30333323,0.2,-0.6,-0.4,0.10169872,0.6,-0.2,-1,0.30546571,-11907,0.62162493,-0.6,0.8,0,0.13328093,-0.6,0.4,0,-0.59503722,-1.4,-0.4,2.8,-0.34197181,-37667,-0.62284977,0,0.8,0.6,0.10277453,0.6,0.2,0.6,0.75920468,-0.8,0,1.4,-0.31489387,-61296,3.88336116,0.4,0,-0.4,-0.5283908,0.2,0.6,0.6,0.34776259,-0.6,0.8,2,-0.08845659,-38624,2.62069604,-0.2,0.6,0.6,0.30921987,0,-0.2,1,0.42451151,-1.6,0,3.2,-0.47160402,-45127,2.78748436,0.4,0.6,1.4,0.41410541,-0.4,1,0,-0.48362182,-0.8,0,0.8,-0.50236859,-8528,3.21194293,2
0.019557374,0.035516842,0.007238609,1.69E-05,3.03E-05,0.011976894,0.000501898,6.59E-06,5.17E-05,0.002282039,0.003711013,1.87E-06,0.480529371,0.008095114,-67.8,-34.6,62.2,98.29974568,84.6,-11.4,38,93.44046233,91.6,-19.4,32.4,99.07916027,204065,60.02351999,0.4,-0.2,0.2,-0.07775222,0.2,-0.2,-1.2,-0.27480342,1.2,0.4,-2.6,0.22280346,33894,3.18391028,0.6,0,1,0.22558101,0.4,-0.8,-1.6,-0.1731047,1.8,0.2,-3.6,0.52826917,21987,3.80553521,-0.2,0.6,0.2,0.05552871,-0.4,0.2,-1.2,-0.86984064,-0.2,0,0.2,-0.11916835,-3773,2.56106051,0.4,0.6,0.8,0.02502231,0.8,0,-0.6,0.48440126,0.4,0.4,-1.2,-0.09209041,-27402,7.06727144,0.8,-0.2,-0.2,-0.60614302,0.4,0.4,-0.6,0.07295917,0.6,1.2,-0.6,0.13434687,-4730,5.80460632,0.2,0.4,0.8,0.23146765,0.2,-0.4,-0.2,0.14970809,-0.4,0.4,0.6,-0.24880056,-11233,5.97139464,1
0.01939665,0.034488482,0.00737996,1.63E-05,2.86E-05,0.011877908,0.000479387,5.91E-06,4.66E-05,0.001928684,0.003287187,1.69E-06,0.481378341,0.008146228,-68.4,-33.8,62.8,98.81720498,84.6,-11.2,38,93.41627267,92.2,-20,29.8,98.93876894,232912,60.53505418,0.6,-0.8,-0.6,-0.5174593,0,-0.2,0,0.02418966,-0.6,0.6,2.6,0.14039133,-28847,-0.51153419,1,-1,-0.4,-0.59521152,0.2,-0.4,-1.2,-0.25061376,0.6,1,0,0.36319479,5047,2.67237609,1.2,-0.8,0.4,-0.29187829,0.4,-1,-1.6,-0.14891504,1.2,0.8,-1,0.6686605,-6860,3.29400102,0.4,-0.2,-0.4,-0.46193059,-0.4,0,-1.2,-0.84565098,-0.8,0.6,2.8,0.02122298,-32620,2.04952632,1,-0.2,0.2,-0.49243699,0.8,-0.2,-0.6,0.50859092,-0.2,1,1.4,0.04830092,-56249,6.55573725,1.4,-1,-0.8,-1.12360232,0.4,0.2,-0.6,0.09714883,0,1.8,2,0.2747382,-33577,5.29307213,1
