,0
0,0.051814567417368236
1,0.06962919583079162
2,0.05294998371149134
3,0.01973002517621037
4,0.02538392468934871
5,0.09103231588448203
6,0.027998676618551054
7,0.0196414539225598
8,0.020505425295890233
9,0.04232390552307783
10,0.03680534492622768
11,0.023861996456794425
12,0.03004215101160108
13,0.05286291377702225
14,0.005200360530952411
15,0.005447364048441972
16,0.00553799426618907
17,0.00513915823566876
18,0.005712262731652422
19,0.009581783121974915
20,0.008341967353879641
21,0.006794927751222292
22,0.002311793030986447
23,0.004414990776199847
24,0.006074442074869221
25,0.005494927446990082
26,0.008348695743945556
27,0.01576975274968869
28,0.0017336736894890143
29,0.0044110242094935505
30,0.0009423886863144889
31,0.00594879506479323
32,0.0009404232812099915
33,0.0025952294739187078
34,0.0016056289762101195
35,0.003172784262247926
36,0.0011374948350014308
37,0.002668175364392237
38,0.0023847876131165057
39,0.003502916414577422
40,0.006236118213404531
41,0.003445620359170834
42,0.0025511214748486564
43,0.001520001603250836
44,0.003945365305404964
45,0.006504331741543554
46,0.0027075532538121255
47,0.001432823373241291
48,0.001660006987594995
49,0.004652792258597035
50,0.001979929764800979
51,0.001738142332547258
52,0.0019421021894039329
53,0.0036680377611111553
54,0.0039419026470202505
55,0.00453525914290091
56,0.0029307392995901313
57,0.001914111082996731
58,0.005529936241121855
59,0.010040793645576404
60,0.0019638982506642263
61,0.0031890568823018817
62,0.0023592454617150757
63,0.006758854458268483
64,0.001762279371498197
65,0.008260096564257262
66,0.0016364498672518137
67,0.011044071071762432
68,0.004247458251274737
69,0.005866981775952388
70,0.0024876437565480515
71,0.004287436809897136
72,0.003709459776564102
73,0.006290182818955251
74,0.0014444884200267515
75,0.001966951182892576
76,0.0030951541406433465
77,0.005290796736048792
78,0.0011362965739395645
79,0.0030890594198762747
80,0.002759108626406777
81,0.004285341411211427
82,0.005989220509422166
83,0.009731390683847945
84,0.002660865435128622
85,0.0029417780113163783
86,0.004909775772689367
87,0.007955528039986162
88,0.00562972474056181
89,0.002090362795355389
90,0.006518888635945416
91,0.006585718816783213
92,0.0024884650329431404
93,0.003226626281276744
94,0.006319002220245087
95,0.0039011430852726485
96,0.006936976439038545
97,0.004764744598845191
98,0.0022623579754743016
99,0.004133103836498231
100,0.005207101869022371
101,0.003533056225021623
102,0.005733959060797253
103,0.001052391139445686
104,0.004837917880357204
105,0.0056454949647857825
106,0.001132156142494451
107,0.004303217179854294
108,0.011364072053112347
109,0.008803669576169739
110,0.0038223247875219424
111,0.005916343930049356
